TOAN,NGU VAN,TIENG ANH,LICH SU,DIA LI,GDCD,NAM
3.6,5.25,,,4.75,,2017
2.6,5.25,,,6,,2017
3.8,6,,,7.25,,2017
4.8,5.25,,,4,,2017
3.6,3.25,,,5.5,,2017
3.8,4,,,2.75,,2017
3.2,5.25,,,3.5,,2017
2.6,4.75,,,6.75,,2017
3.2,3,,,3.75,,2017
2.2,2,,,3.25,,2017
2.8,3.25,,,4.5,,2017
3,5.25,,,6,,2017
4.6,3.25,,,4.75,,2017
3.6,3.5,,,3.75,,2017
4.6,5.25,,,7.25,,2017
2.8,5,,,,,2017
3,5.25,,,5,,2017
2.4,5,,,4.75,,2017
3.6,3.75,,,5,,2017
3.8,2,,,4.25,,2017
3.6,5,,,3.25,,2017
4.4,4.75,,,5.25,,2017
3.4,3.25,,,5.75,,2017
4.6,5.5,,,7.75,,2017
4.8,5,,,4,,2017
2.4,4,,,3.5,,2017
2.8,3.25,,,3.5,,2017
2.6,3.25,,,4.5,,2017
5.8,2.75,,,,,2017
6.2,5,,,,,2017
6.8,5.75,,,,,2017
5.4,6.25,,,,,2017
6.2,5,,,,,2017
4.8,4.25,,,8,7.25,2017
5.8,7.75,,,8.25,7,2017
5.4,4,,,,,2017
6.4,5,,,,,2017
4.6,3.75,,,,,2017
2.6,3.25,,,5,5.5,2017
5.2,5.75,,,,,2017
2.4,7.25,,,8.75,7.25,2017
7.4,6.5,,,6,7.5,2017
4.6,4,,,,,2017
4.8,6.5,6.2,,,,2017
3,7.75,,,6.75,7.75,2017
5.4,7.75,,,7.25,8.25,2017
4.2,3.75,,,,,2017
3.8,6.5,,,8.25,8.5,2017
6.2,3.5,,,,,2017
3.8,7,,,6,7.5,2017
5,7.25,,,,,2017
6.2,5.25,,,,,2017
5.2,5.75,5,,,,2017
8.6,6.25,,,8.25,7.5,2017
4.6,4,,,,,2017
5,5.5,,,6.5,8.25,2017
4.8,7,,,7,8,2017
8.6,7,,,6,7.75,2017
5.6,6.25,,,7.25,8,2017
5.2,7.5,,,6.75,8,2017
3.8,7,,,7,8.75,2017
7,6.5,,,7.25,6.75,2017
4.6,7,,,6.75,7.75,2017
4.8,6.25,,,7.25,7.75,2017
8.6,6.75,,,7.5,7.25,2017
5.8,6.75,,,6.25,8,2017
8,2.75,,,,,2017
6,7,,,7.75,7.5,2017
8.6,6.75,,,,,2017
8,7.5,,,8.5,7.5,2017
7.8,8.25,,,6.75,8.25,2017
8.4,6.5,,,8.25,8.5,2017
7.2,6.75,,,8.5,8,2017
5.4,7,,,4.5,8.5,2017
8.2,7.5,,,7.25,8.5,2017
6.8,7.5,,,6.75,6.5,2017
7.2,7.75,,,7.25,7.5,2017
7.6,7.75,,,7.5,8.25,2017
7.4,8.5,,,7,7,2017
6.8,5.75,,,,,2017
8.4,3.75,,,,,2017
7.6,7.75,,,7,8,2017
8.6,7.5,,,6.25,6,2017
8.8,6.75,,,7.75,8.25,2017
5.4,8,,,5.5,7.25,2017
4,7.5,,,6,7.75,2017
8.4,8.25,,,8.25,8.75,2017
6.6,8,,,8.25,7.5,2017
3,6.75,4.2,,,,2017
8.8,7,5.4,,,,2017
8.2,7.5,,,9,8,2017
8.8,7,,,8,7.25,2017
2.6,8,,,6.75,7.5,2017
4.4,8,3.2,,,,2017
6,7.5,6.6,,,,2017
4.4,7.5,,,8.25,8.75,2017
3.4,8.5,,,7.25,7.5,2017
2.6,7.75,,,8.5,8,2017
5.6,7.25,4,,,,2017
4,8,,,7.75,8.5,2017
5.2,7.25,,,8.75,8.75,2017
9,6.75,9.6,,,,2017
6,6,6.4,,,,2017
4.2,7.5,2.4,,,,2017
5,8.25,,,9.75,8.75,2017
6.2,7.5,3.6,,,,2017
4,8.5,6.4,,,,2017
4.6,8.5,,,7.25,8.5,2017
6,7.25,3.6,,,,2017
5,7,,,9.5,9.25,2017
2,7,,,8.75,8.75,2017
5.8,8.5,,,9,8.75,2017
8,3.75,,,,,2017
4,3.75,,,,,2017
5.2,5,,,,,2017
6.4,4,4,,,,2017
5.2,4.5,,,,,2017
7.4,6.25,,,,,2017
8.2,8.5,5.2,,,,2017
6.8,6,,,,,2017
3.8,5,,,,,2017
5.8,7.75,5.4,,,,2017
4.8,6.75,3,,,,2017
6.2,4.5,4.6,,,,2017
6,5.5,,,,,2017
4.4,6,5.8,,,,2017
4.6,6.75,5,,,,2017
5.8,6,,,,,2017
5,6,2.4,,,,2017
4.4,4.5,4.2,,,,2017
7.8,3.5,,,,,2017
6,6,,,,,2017
5.2,6.25,,,,,2017
6.8,5.5,,,,,2017
8.4,3.5,,,,,2017
8,4,,,,,2017
8.4,6,,,,,2017
8.8,4.75,,,,,2017
5.6,5,,,,,2017
7.8,5.5,,,,,2017
